ID,authors,title,journal,year_pub,pages,journal_issue,type,number_authors,collaborative,full_reference,lead_author_institution,institution_country,institution_type,country_topic,theory_topic,subject_topic,method_topic
173,"Meade, J",Prehistoric Landscapes of the Ouse Valley and Their Use in the Late Iron Age and Romano-British Period,Theoretical Roman Archaeology Conference Proceedings,2004,pp.78-89,13,proc,1,FALSE,"Meade, J., 2004. Prehistoric Landscapes of the Ouse Valley and Their Use in the Late Iron Age and Romano-British Period . Theoretical Roman Archaeology Journal, (2003), pp.78–89. DOI: http://doi.org/10.16995/TRAC2003_78_89",University of Leicester,England,University,Britain,landscape change,prehistory,
174,"Chadwick, A","“Heavier Burdens for Willing Shoulders”? Writing Different Histories, Humanities and Social Practices for the Romano-British Countryside",Theoretical Roman Archaeology Conference Proceedings,2004,pp.90-110,13,proc,1,FALSE,"Chadwick, A.M., 2004. “Heavier Burdens for Willing Shoulders”? Writing Different Histories, Humanities and Social Practices for the Romano-British Countryside. Theoretical Roman Archaeology Journal, (2003), pp.90–110. DOI: http://doi.org/10.16995/TRAC2003_90_110",University of Wales,Wales,University,Britain,practice society landscape movement,rural,
175,"Launaro, A",Experienced Landscapes Through Intentional Sources,Theoretical Roman Archaeology Conference Proceedings,2004,pp.111-122,13,proc,1,FALSE,"Launaro, A., 2004. Experienced Landscapes Through Intentional Sources. Theoretical Roman Archaeology Journal, (2003), pp.111–122. DOI: http://doi.org/10.16995/TRAC2003_111_122",Universita degli Studi di Pisa,Italy,University,,landscape phenomenology,,
176,"Kiernan, P",Did Curse Tablets Work?,Theoretical Roman Archaeology Conference Proceedings,2004,pp.123-134,13,proc,1,FALSE,"Kiernan, P., 2004. Did Curse Tablets Work?. Theoretical Roman Archaeology Journal, (2003), pp.123–134. DOI: http://doi.org/10.16995/TRAC2003_123_134",University of Cincinnati,USA,University,,ritual death,curse-tablets medicine,
177,"Gowland, R",The Social Identity of Health in Late Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2004,pp.135-146,13,proc,1,FALSE,"Gowland, R., 2004. The Social Identity of Health in Late Roman Britain. Theoretical Roman Archaeology Journal, (2003), pp.135–146. DOI: http://doi.org/10.16995/TRAC2003_135_146",University of Cambridge,England,University,Britain,identity society body,health,osteoarchaeology
178,"Hepple, L",“The Camden Connection”: Revisiting the Origins of Romano-British Archaeology and its Historiography,Theoretical Roman Archaeology Conference Proceedings,2004,pp.147-156,13,proc,1,FALSE,"Hepple, L.W., 2004. “The Camden Connection”: Revisiting the Origins of Romano-British Archaeology and its Historiography. Theoretical Roman Archaeology Journal, (2003), pp.147–156. DOI: http://doi.org/10.16995/TRAC2003_147_156",University of Bristol,England,University,Britain,,,historiography
179,"Jame, J Croxford, B Grigoropoulos, D",Preface,Theoretical Roman Archaeology Conference Proceedings,2005,pp.i-vi,14,proc,3,TRUE,"Jame, J., Croxford, B. and Grigoropoulos, D., 2005. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2004), p.i–vi. DOI: http://doi.org/10.16995/TRAC2004_i_vi",Durham University,England,University,,,,
180,"Greene, K",The Economy of Roman Britain: Representation and Historiography,Theoretical Roman Archaeology Conference Proceedings,2005,pp.1-15,14,proc,1,FALSE,"Greene, K., 2005. The Economy of Roman Britain: Representation and Historiography. Theoretical Roman Archaeology Journal, (2004), pp.1–15. DOI: http://doi.org/10.16995/TRAC2004_1_15",Newcastle University,England,University,Britain,economy,,historiography bibliographic
181,"Weekes, J",Reconstructing Syntheses in Romano-British Cremation,Theoretical Roman Archaeology Conference Proceedings,2005,pp.16-26,14,proc,1,FALSE,"Weekes, J., 2005. Reconstructing Syntheses in Romano-British Cremation. Theoretical Roman Archaeology Journal, (2004), pp.16–26. DOI: http://doi.org/10.16995/TRAC2004_16_26",University of Kent,England,University,Britain,death,burial text,experimental
182,"Rogers, A",Metalworking and Late Roman Power: A Study of Towns in Late Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2005,pp.27-38,14,proc,1,FALSE,"Rogers, A., 2005. Metalworking and Late Roman Power: A Study of Towns in Late Roman Britain. Theoretical Roman Archaeology Journal, (2004), pp.27–38. DOI: http://doi.org/10.16995/TRAC2004_27_38",Durham University,England,University,Britain,urbanism power decline,metalwork architecture,
183,"Kemmers, F",Not at Random. Evidence for a Regionalised Coin Supply?,Theoretical Roman Archaeology Conference Proceedings,2005,pp.39-49,14,proc,1,FALSE,"Kemmers, F., 2005. Not at Random. Evidence for a Regionalised Coin Supply?. Theoretical Roman Archaeology Journal, (2004), pp.39–49. DOI: http://doi.org/10.16995/TRAC2004_39_49","Radboud Universiteit, Nijmegen",Netherlands,University,Netherlands,space economy,coins military,
184,"Pitts, M",Regional Identities and the Social Use of Ceramics,Theoretical Roman Archaeology Conference Proceedings,2005,pp.50-64,14,proc,1,FALSE,"Pitts, M., 2005. Regional Identities and the Social Use of Ceramics. Theoretical Roman Archaeology Journal, (2004), pp.50–64. DOI: http://doi.org/10.16995/TRAC2004_50_64",University of York,England,University,Britain,identity culture,pottery prehistory,
185,"Keller, D",Social and Economic Aspects of Glass Recycling,Theoretical Roman Archaeology Conference Proceedings,2005,pp.65-78,14,proc,1,FALSE,"Keller, D., 2005. Social and Economic Aspects of Glass Recycling . Theoretical Roman Archaeology Journal, (2004), pp.65–78. DOI: http://doi.org/10.16995/TRAC2004_65_78",University of Helsinki,Finland,University,Jordan,economy society recycling,glass,text
186,"Robeerst, A",Interaction and Exchange in Food Production in the Nijmegen Frontier Area During the Early Roman Period,Theoretical Roman Archaeology Conference Proceedings,2005,pp.79-96,14,proc,1,FALSE,"Robeerst, A., 2005. Interaction and Exchange in Food Production in the Nijmegen Frontier Area During the Early Roman Period . Theoretical Roman Archaeology Journal, (2004), pp.79–96. DOI: http://doi.org/10.16995/TRAC2004_79_96","National Service for Archaeological Heritage, The Netherlands",Netherlands,National heritage body,Netherlands,exchange imperialism,diet,zooarchaeology
187,"Atha, M",Brickworks and Ladders: Exploring Intra-Regional Diversity in the Enclosed Landscapes of the Parisi,Theoretical Roman Archaeology Conference Proceedings,2005,pp.97-108,14,proc,1,FALSE,"Atha, M., 2005. Brickworks and Ladders: Exploring Intra-Regional Diversity in the Enclosed Landscapes of the Parisi. Theoretical Roman Archaeology Journal, (2004), pp.97–108. DOI: http://doi.org/10.16995/TRAC2004_97_108",University of York,England,University,,landscape,burial,
188,"Ghey, E",Beyond the Temple: Blurring the Boundaries of ‘Sacred Space’,Theoretical Roman Archaeology Conference Proceedings,2005,pp.109-118,14,proc,1,FALSE,"Ghey, E., 2005. Beyond the Temple: Blurring the Boundaries of ‘Sacred Space’. Theoretical Roman Archaeology Journal, (2004), pp.109–118. DOI: http://doi.org/10.16995/TRAC2004_109_118",University of Wales,Wales,University,France,landscape phenomenology space,architecture temple,
189,"Tupman, C",The Cupae of Iberia in their Monumental Contexts: A Study of the Relationship Between Social Status and Commemoration with Barrel-Shaped and Semi-Cylindrical Tombstones,Theoretical Roman Archaeology Conference Proceedings,2005,pp.119-132,14,proc,1,FALSE,"Tupman, C., 2005. The Cupae of Iberia in their Monumental Contexts: A Study of the Relationship Between Social Status and Commemoration with Barrel-Shaped and Semi-Cylindrical Tombstones . Theoretical Roman Archaeology Journal, (2004), pp.119–132. DOI: http://doi.org/10.16995/TRAC2004_119_132",University of Southampton,England,University,Spain Portugal,death society,burial,epigraphy
190,"Graham, E",The Quick and the Dead in the Extra-Urban Landscape: The Roman Cemetery at Ostia/Portus as a Lived Environment,Theoretical Roman Archaeology Conference Proceedings,2005,pp.133-143,14,proc,1,FALSE,"Graham, E.-J., 2005. The Quick and the Dead in the Extra-Urban Landscape: The Roman Cemetery at Ostia/Portus as a Lived Environment. Theoretical Roman Archaeology Journal, (2004), pp.133–143. DOI: http://doi.org/10.16995/TRAC2004_133_143",University of Sheffield,England,University,Italy,urbanism identity,burial diet,
191,"Anderson, M","Houses, GIS and the Micro-Topology of Pompeian Space",Theoretical Roman Archaeology Conference Proceedings,2005,pp.144-156,14,proc,1,FALSE,"Anderson, M., 2005. Houses, GIS and the Micro-Topology of Pompeian Space. Theoretical Roman Archaeology Journal, (2004), pp.144–156. DOI: http://doi.org/10.16995/TRAC2004_144_156",University of Cambridge,England,University,Italy,space visibility,houses architecture,gis
192,"Driessen, M",Unifying Aspects of Roman Forts,Theoretical Roman Archaeology Conference Proceedings,2005,pp.157-162,14,proc,1,FALSE,"Driessen, M., 2005. Unifying Aspects of Roman Forts. Theoretical Roman Archaeology Journal, (2004), pp.157–162. DOI: http://doi.org/10.16995/TRAC2004_157_162",University of Amsterdam,Netherlands,University,Netherlands,community identity,military,text
193,"Croxford, B Goodchild, H  Lucas, J Ray, N",Preface,Theoretical Roman Archaeology Conference Proceedings,2006,pp.i-vi,15,proc,4,TRUE,"Croxford, B., Goodchild, H., Lucas, J. and Ray, N., 2006. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2005), p.i–vi. DOI: http://doi.org/10.16995/TRAC2005_i_vi",University of Birmingham,England,University,,,preface,
194,"Collins, R",Late Roman Frontier Communities in Northern Britain: A Theoretical Context for the ‘End’ of Hadrian’s Wall,Theoretical Roman Archaeology Conference Proceedings,2006,pp.1-11,15,proc,1,FALSE,"Collins, R., 2006. Late Roman Frontier Communities in Northern Britain: A Theoretical Context for the ‘End’ of Hadrian’s Wall. Theoretical Roman Archaeology Journal, (2005), pp.1–11. DOI: http://doi.org/10.16995/TRAC2005_1_11",University of York,England,University,Britain,frontier decline community,military,
195,"Morison, M",Romanization in Southern Epirus: A Ceramic Perspective,Theoretical Roman Archaeology Conference Proceedings,2006,pp.12-24,15,proc,1,FALSE,"Morison, M.M., 2006. Romanization in Southern Epirus: A Ceramic Perspective. Theoretical Roman Archaeology Journal, (2005), pp.12–24. DOI: http://doi.org/10.16995/TRAC2005_12_24","Grand Valley State University, Michigan",USA,University,Greece,Romanization,pottery,
196,"Ray, N",Consumption and Roman Archaeology: Beyond Pompeii,Theoretical Roman Archaeology Conference Proceedings,2006,pp.25-41,15,proc,1,FALSE,"Ray, N., 2006. Consumption and Roman Archaeology: Beyond Pompeii. Theoretical Roman Archaeology Journal, (2005), pp.25–41. DOI: http://doi.org/10.16995/TRAC2005_25_41",University of Leicester,England,University,Italy,consumption economy,diet,
197,"Goodchild, H",Modelling Roman Demography and Urban Dependency in Central Italy,Theoretical Roman Archaeology Conference Proceedings,2006,pp.42-56,15,proc,1,FALSE,"Goodchild, H., 2006. Modelling Roman Demography and Urban Dependency in Central Italy. Theoretical Roman Archaeology Journal, (2005), pp.42–56. DOI: http://doi.org/10.16995/TRAC2005_42_56",University of Birmingham,England,University,Italy,demography urbanism,diet,
198,"Graham, E",Discarding the Destitute: Ancient and Modern Attitudes Towards Burial Practices and Memory Preservation Amongst the Lower Classes of Rome,Theoretical Roman Archaeology Conference Proceedings,2006,pp.57-72,15,proc,1,FALSE,"Graham, E.-J., 2006. Discarding the Destitute: Ancient and Modern Attitudes Towards Burial Practices and Memory Preservation Amongst the Lower Classes of Rome. Theoretical Roman Archaeology Journal, (2005), pp.57–72. DOI: http://doi.org/10.16995/TRAC2005_57_72",University of Sheffield,England,University,Italy,status practice commemoration,burial,
199,"Courbot-Dewerdt, C",An Alleged Far West? The Romanisation of the Countryside in Western Gaul,Theoretical Roman Archaeology Conference Proceedings,2006,pp.73-82,15,proc,1,FALSE,"Courbot-Dewerdt, C., 2006. An Alleged Far West? The Romanisation of the Countryside in Western Gaul. Theoretical Roman Archaeology Journal, (2005), pp.73–82. DOI: http://doi.org/10.16995/TRAC2005_73_82","Direction de l’archéologie du Douaisis, Douai",France,Regional heritage body,France,Romanization landscape,rural,survey
200,"Martin Goldberg, D",Fertile Imaginations: Pastoralist Production and a New Interpretation of a Roman Period Relief Sculpture from Bath,Theoretical Roman Archaeology Conference Proceedings,2006,pp.83-98,15,proc,1,FALSE,"Goldberg, D.M., 2006. Fertile Imaginations: Pastoralist Production and a New Interpretation of a Roman Period Relief Sculpture from Bath. Theoretical Roman Archaeology Journal, (2005), pp.83–98. DOI: http://doi.org/10.16995/TRAC2005_83_98",University of Glasgow,Scotland,University,Britain,religion,sculpture,
201,"Schörner, G",Wild Animals and Domestic Animals in the Roman Sacrificial Ritual: Distinctions Between ‘Human’ and ‘Animal’ Animals?,Theoretical Roman Archaeology Conference Proceedings,2006,pp.99-110,15,proc,1,FALSE,"Schörner, G., 2006. Wild Animals and Domestic Animals in the Roman Sacrificial Ritual: Distinctions Between ‘Human’ and ‘Animal’ Animals?. Theoretical Roman Archaeology Journal, (2005), pp.99–110. DOI: http://doi.org/10.16995/TRAC2005_99_110",Friedrich-Schiller-Universität Jena,Germany,University,,ritual,,epigraphy text zooarchaeology
202,"Scott, E",15 years of TRAC – Reflections on a Journey,Theoretical Roman Archaeology Conference Proceedings,2006,pp.111-115,15,proc,1,FALSE,"Scott, E., 2006. 15 years of TRAC – Reflections on a Journey. Theoretical Roman Archaeology Journal, (2005), pp.111–115. DOI: http://doi.org/10.16995/TRAC2005_111_115",Portsmouth City Council,England,Local Authority,,,,retrospective
203,"Laurence, R",21st Century TRAC: Is the Roman Battery Flat?,Theoretical Roman Archaeology Conference Proceedings,2006,pp.116-127,15,proc,1,FALSE,"Laurence, R., 2006. 21st Century TRAC: Is the Roman Battery Flat?. Theoretical Roman Archaeology Journal, (2005), pp.116–127. DOI: http://doi.org/10.16995/TRAC2005_116_127",University of Birmingham,England,University,,,,retrospective
204,"Gardner, A",The Future of TRAC,Theoretical Roman Archaeology Conference Proceedings,2006,pp.128-137,15,proc,1,FALSE,"Gardner, A., 2006. The Future of TRAC. Theoretical Roman Archaeology Journal, (2005), pp.128–137. DOI: http://doi.org/10.16995/TRAC2005_128_137",University College London,England,University,,,,retrospective
205,"Croxford, B Ray, N Roth, R White, N",Preface,Theoretical Roman Archaeology Conference Proceedings,2007,pp.i-vi,16,proc,4,TRUE,"Croxford, B., Ray, N., Roth, R. and White, N., 2007. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2006), p.i–vi. DOI: http://doi.org/10.16995/TRAC2006_i_vi",University of Cambridge,England,University,,,preface,
206,"Eccleston, M",Craft and Social Identity of Metalworkers in Ptolemaic and Roman Egypt,Theoretical Roman Archaeology Conference Proceedings,2007,pp.1-16,16,proc,1,FALSE,"Eccleston, M., 2007. Craft and Social Identity of Metalworkers in Ptolemaic and Roman Egypt. Theoretical Roman Archaeology Journal, (2006), pp.1–16. DOI: http://doi.org/10.16995/TRAC2006_1_16",University of Sheffield,England,University,Egypt,identity craft society,,text
